timestamp,device_id,port_id,event_label,event_id,metric,alert_name,bucket
2026-02-01 00:15:00,edge-fw-01,port-id7427,normal,D,traffic,traffic_high,2026-02-01 00:15:00
2026-02-01 00:30:00,edge-fw-01,port-id7427,normal,D,discards,discards_high,2026-02-01 00:30:00
2026-02-01 00:55:00,edge-fw-01,port-id7427,normal,D,packets,packets_high,2026-02-01 00:45:00
2026-02-01 01:00:00,edge-fw-01,port-id7427,normal,D,packets,packets_high,2026-02-01 01:00:00
2026-02-01 01:00:00,edge-fw-01,port-id7427,normal,D,broadcast,broadcast_high,2026-02-01 01:00:00
2026-02-01 01:00:00,edge-fw-01,port-id7427,normal,D,multicast,multicast_high,2026-02-01 01:00:00
2026-02-01 01:05:00,edge-fw-01,port-id7427,normal,D,traffic,traffic_high,2026-02-01 01:00:00
2026-02-01 01:25:00,edge-fw-01,port-id7427,normal,D,errors,errors_high,2026-02-01 01:15:00
2026-02-01 01:50:00,edge-fw-01,port-id7427,normal,D,traffic,traffic_high,2026-02-01 01:45:00
2026-02-01 02:00:00,edge-fw-01,port-id7427,normal,D,packets,packets_high,2026-02-01 02:00:00
2026-02-01 02:05:00,edge-fw-01,port-id7427,normal,D,discards,discards_high,2026-02-01 02:00:00
2026-02-01 02:30:00,edge-fw-01,port-id7427,normal,D,traffic,traffic_high,2026-02-01 02:30:00
2026-02-01 02:30:00,edge-fw-01,port-id7427,normal,D,packets,packets_high,2026-02-01 02:30:00
2026-02-01 02:30:00,edge-fw-01,port-id7427,normal,D,broadcast,broadcast_high,2026-02-01 02:30:00
2026-02-01 02:30:00,edge-fw-01,port-id7427,normal,D,multicast,multicast_high,2026-02-01 02:30:00
2026-02-01 02:55:00,edge-fw-01,port-id7427,normal,D,traffic,traffic_high,2026-02-01 02:45:00
2026-02-01 03:15:00,edge-fw-01,port-id7427,normal,D,packets,packets_high,2026-02-01 03:15:00
2026-02-01 03:15:00,edge-fw-01,port-id7427,normal,D,broadcast,broadcast_high,2026-02-01 03:15:00
2026-02-01 03:15:00,edge-fw-01,port-id7427,normal,D,multicast,multicast_high,2026-02-01 03:15:00
2026-02-01 03:25:00,edge-fw-01,port-id7427,normal,D,discards,discards_high,2026-02-01 03:15:00
2026-02-01 03:50:00,edge-fw-01,port-id7427,normal,D,traffic,traffic_high,2026-02-01 03:45:00
