scenario_id,timestamp,device_id,port_id,port_role,utilization
S1,2026-03-02 00:00:00,sw-core-01,port-id7430,uplink,16.460346
S1,2026-03-02 00:05:00,sw-core-01,port-id7430,uplink,10.619916
S1,2026-03-02 00:10:00,sw-core-01,port-id7430,uplink,14.559818
S1,2026-03-02 00:15:00,sw-core-01,port-id7430,uplink,11.707166
S1,2026-03-02 00:20:00,sw-core-01,port-id7430,uplink,13.703450
S1,2026-03-02 00:25:00,sw-core-01,port-id7430,uplink,13.738718
S1,2026-03-02 00:30:00,sw-core-01,port-id7430,uplink,11.423171
S1,2026-03-02 00:35:00,sw-core-01,port-id7430,uplink,13.034097
S1,2026-03-02 00:40:00,sw-core-01,port-id7430,uplink,14.140961
S1,2026-03-02 00:45:00,sw-core-01,port-id7430,uplink,23.514148
S1,2026-03-02 00:50:00,sw-core-01,port-id7430,uplink,16.950254
S1,2026-03-02 00:55:00,sw-core-01,port-id7430,uplink,9.248217
S1,2026-03-02 01:00:00,sw-core-01,port-id7430,uplink,14.189884
S1,2026-03-02 01:05:00,sw-core-01,port-id7430,uplink,21.523929
S1,2026-03-02 01:10:00,sw-core-01,port-id7430,uplink,14.045406
S1,2026-03-02 01:15:00,sw-core-01,port-id7430,uplink,11.441816
S1,2026-03-02 01:20:00,sw-core-01,port-id7430,uplink,18.011176
S1,2026-03-02 01:25:00,sw-core-01,port-id7430,uplink,17.592848
S1,2026-03-02 01:30:00,sw-core-01,port-id7430,uplink,18.304782
S1,2026-03-02 01:35:00,sw-core-01,port-id7430,uplink,14.739014
S1,2026-03-02 01:40:00,sw-core-01,port-id7430,uplink,17.119352
S1,2026-03-02 01:45:00,sw-core-01,port-id7430,uplink,15.324239
S1,2026-03-02 01:50:00,sw-core-01,port-id7430,uplink,17.738159
S1,2026-03-02 01:55:00,sw-core-01,port-id7430,uplink,11.719937
S1,2026-03-02 02:00:00,sw-core-01,port-id7430,uplink,18.494128
S1,2026-03-02 02:05:00,sw-core-01,port-id7430,uplink,16.462175
S1,2026-03-02 02:10:00,sw-core-01,port-id7430,uplink,15.891186
S1,2026-03-02 02:15:00,sw-core-01,port-id7430,uplink,14.320590
S1,2026-03-02 02:20:00,sw-core-01,port-id7430,uplink,15.559812
S1,2026-03-02 02:25:00,sw-core-01,port-id7430,uplink,18.018215
S1,2026-03-02 02:30:00,sw-core-01,port-id7430,uplink,15.388927
S1,2026-03-02 02:35:00,sw-core-01,port-id7430,uplink,13.027780
S1,2026-03-02 02:40:00,sw-core-01,port-id7430,uplink,16.873632
S1,2026-03-02 02:45:00,sw-core-01,port-id7430,uplink,14.696888
S1,2026-03-02 02:50:00,sw-core-01,port-id7430,uplink,19.194825
S1,2026-03-02 02:55:00,sw-core-01,port-id7430,uplink,14.052426
S1,2026-03-02 03:00:00,sw-core-01,port-id7430,uplink,10.845929
S1,2026-03-02 03:05:00,sw-core-01,port-id7430,uplink,14.007759
S1,2026-03-02 03:10:00,sw-core-01,port-id7430,uplink,17.088752
S1,2026-03-02 03:15:00,sw-core-01,port-id7430,uplink,14.819929
S1,2026-03-02 03:20:00,sw-core-01,port-id7430,uplink,17.515609
S1,2026-03-02 03:25:00,sw-core-01,port-id7430,uplink,13.927143
S1,2026-03-02 03:30:00,sw-core-01,port-id7430,uplink,17.289801
S1,2026-03-02 03:35:00,sw-core-01,port-id7430,uplink,13.765551
S1,2026-03-02 03:40:00,sw-core-01,port-id7430,uplink,17.788723
S1,2026-03-02 03:45:00,sw-core-01,port-id7430,uplink,14.824859
S1,2026-03-02 03:50:00,sw-core-01,port-id7430,uplink,22.480585
S1,2026-03-02 03:55:00,sw-core-01,port-id7430,uplink,13.838526
S1,2026-03-02 04:00:00,sw-core-01,port-id7430,uplink,21.301648
S1,2026-03-02 04:05:00,sw-core-01,port-id7430,uplink,9.492190
S1,2026-03-02 04:10:00,sw-core-01,port-id7430,uplink,14.171261
S1,2026-03-02 04:15:00,sw-core-01,port-id7430,uplink,15.362009
S1,2026-03-02 04:20:00,sw-core-01,port-id7430,uplink,12.808599
S1,2026-03-02 04:25:00,sw-core-01,port-id7430,uplink,18.369428
S1,2026-03-02 04:30:00,sw-core-01,port-id7430,uplink,18.273632
S1,2026-03-02 04:35:00,sw-core-01,port-id7430,uplink,21.496619
S1,2026-03-02 04:40:00,sw-core-01,port-id7430,uplink,20.942812
S1,2026-03-02 04:45:00,sw-core-01,port-id7430,uplink,16.509825
S1,2026-03-02 04:50:00,sw-core-01,port-id7430,uplink,10.780124
S1,2026-03-02 04:55:00,sw-core-01,port-id7430,uplink,13.458056
S1,2026-03-02 05:00:00,sw-core-01,port-id7430,uplink,11.395487
S1,2026-03-02 05:05:00,sw-core-01,port-id7430,uplink,16.429594
S1,2026-03-02 05:10:00,sw-core-01,port-id7430,uplink,16.116028
S1,2026-03-02 05:15:00,sw-core-01,port-id7430,uplink,15.535034
S1,2026-03-02 05:20:00,sw-core-01,port-id7430,uplink,13.489759
S1,2026-03-02 05:25:00,sw-core-01,port-id7430,uplink,21.143674
S1,2026-03-02 05:30:00,sw-core-01,port-id7430,uplink,17.537775
S1,2026-03-02 05:35:00,sw-core-01,port-id7430,uplink,11.052968
S1,2026-03-02 05:40:00,sw-core-01,port-id7430,uplink,16.681637
S1,2026-03-02 05:45:00,sw-core-01,port-id7430,uplink,14.954745
S1,2026-03-02 05:50:00,sw-core-01,port-id7430,uplink,19.482099
S1,2026-03-02 05:55:00,sw-core-01,port-id7430,uplink,18.052546
S1,2026-03-02 06:00:00,sw-core-01,port-id7430,uplink,20.406759
S1,2026-03-02 06:05:00,sw-core-01,port-id7430,uplink,26.916606
S1,2026-03-02 06:10:00,sw-core-01,port-id7430,uplink,22.500837
S1,2026-03-02 06:15:00,sw-core-01,port-id7430,uplink,22.218000
S1,2026-03-02 06:20:00,sw-core-01,port-id7430,uplink,24.234813
S1,2026-03-02 06:25:00,sw-core-01,port-id7430,uplink,22.851192
S1,2026-03-02 06:30:00,sw-core-01,port-id7430,uplink,23.601824
S1,2026-03-02 06:35:00,sw-core-01,port-id7430,uplink,22.277693
S1,2026-03-02 06:40:00,sw-core-01,port-id7430,uplink,22.628898
S1,2026-03-02 06:45:00,sw-core-01,port-id7430,uplink,30.627917
S1,2026-03-02 06:50:00,sw-core-01,port-id7430,uplink,25.249114
S1,2026-03-02 06:55:00,sw-core-01,port-id7430,uplink,27.495008
S1,2026-03-02 07:00:00,sw-core-01,port-id7430,uplink,27.802021
S1,2026-03-02 07:05:00,sw-core-01,port-id7430,uplink,31.938364
S1,2026-03-02 07:10:00,sw-core-01,port-id7430,uplink,31.455829
S1,2026-03-02 07:15:00,sw-core-01,port-id7430,uplink,31.820523
S1,2026-03-02 07:20:00,sw-core-01,port-id7430,uplink,32.546807
S1,2026-03-02 07:25:00,sw-core-01,port-id7430,uplink,27.492351
S1,2026-03-02 07:30:00,sw-core-01,port-id7430,uplink,30.612493
S1,2026-03-02 07:35:00,sw-core-01,port-id7430,uplink,39.726042
S1,2026-03-02 07:40:00,sw-core-01,port-id7430,uplink,39.065956
S1,2026-03-02 07:45:00,sw-core-01,port-id7430,uplink,36.969852
S1,2026-03-02 07:50:00,sw-core-01,port-id7430,uplink,43.877059
S1,2026-03-02 07:55:00,sw-core-01,port-id7430,uplink,43.851410
S1,2026-03-02 08:00:00,sw-core-01,port-id7430,uplink,42.431679
S1,2026-03-02 08:05:00,sw-core-01,port-id7430,uplink,40.151392
S1,2026-03-02 08:10:00,sw-core-01,port-id7430,uplink,39.232296
S1,2026-03-02 08:15:00,sw-core-01,port-id7430,uplink,41.920555
S1,2026-03-02 08:20:00,sw-core-01,port-id7430,uplink,43.722613
S1,2026-03-02 08:25:00,sw-core-01,port-id7430,uplink,42.625108
S1,2026-03-02 08:30:00,sw-core-01,port-id7430,uplink,37.893387
S1,2026-03-02 08:35:00,sw-core-01,port-id7430,uplink,45.482592
S1,2026-03-02 08:40:00,sw-core-01,port-id7430,uplink,45.364665
S1,2026-03-02 08:45:00,sw-core-01,port-id7430,uplink,43.487985
S1,2026-03-02 08:50:00,sw-core-01,port-id7430,uplink,41.623798
S1,2026-03-02 08:55:00,sw-core-01,port-id7430,uplink,45.880960
S1,2026-03-02 09:00:00,sw-core-01,port-id7430,uplink,41.418388
S1,2026-03-02 09:05:00,sw-core-01,port-id7430,uplink,39.178146
S1,2026-03-02 09:10:00,sw-core-01,port-id7430,uplink,43.622857
S1,2026-03-02 09:15:00,sw-core-01,port-id7430,uplink,51.538492
S1,2026-03-02 09:20:00,sw-core-01,port-id7430,uplink,41.339152
S1,2026-03-02 09:25:00,sw-core-01,port-id7430,uplink,44.979015
S1,2026-03-02 09:30:00,sw-core-01,port-id7430,uplink,40.888162
S1,2026-03-02 09:35:00,sw-core-01,port-id7430,uplink,43.806815
S1,2026-03-02 09:40:00,sw-core-01,port-id7430,uplink,41.180617
S1,2026-03-02 09:45:00,sw-core-01,port-id7430,uplink,41.304400
S1,2026-03-02 09:50:00,sw-core-01,port-id7430,uplink,40.684129
S1,2026-03-02 09:55:00,sw-core-01,port-id7430,uplink,44.716446
S1,2026-03-02 10:00:00,sw-core-01,port-id7430,uplink,44.987516
S1,2026-03-02 10:05:00,sw-core-01,port-id7430,uplink,45.531687
S1,2026-03-02 10:10:00,sw-core-01,port-id7430,uplink,45.312065
S1,2026-03-02 10:15:00,sw-core-01,port-id7430,uplink,40.767261
S1,2026-03-02 10:20:00,sw-core-01,port-id7430,uplink,41.661884
S1,2026-03-02 10:25:00,sw-core-01,port-id7430,uplink,44.708498
S1,2026-03-02 10:30:00,sw-core-01,port-id7430,uplink,49.413545
S1,2026-03-02 10:35:00,sw-core-01,port-id7430,uplink,41.722733
S1,2026-03-02 10:40:00,sw-core-01,port-id7430,uplink,42.971917
S1,2026-03-02 10:45:00,sw-core-01,port-id7430,uplink,50.356400
S1,2026-03-02 10:50:00,sw-core-01,port-id7430,uplink,44.021523
S1,2026-03-02 10:55:00,sw-core-01,port-id7430,uplink,47.439163
S1,2026-03-02 11:00:00,sw-core-01,port-id7430,uplink,46.815034
S1,2026-03-02 11:05:00,sw-core-01,port-id7430,uplink,39.440663
S1,2026-03-02 11:10:00,sw-core-01,port-id7430,uplink,46.899540
S1,2026-03-02 11:15:00,sw-core-01,port-id7430,uplink,47.957699
S1,2026-03-02 11:20:00,sw-core-01,port-id7430,uplink,36.980733
S1,2026-03-02 11:25:00,sw-core-01,port-id7430,uplink,44.395474
S1,2026-03-02 11:30:00,sw-core-01,port-id7430,uplink,46.018984
S1,2026-03-02 11:35:00,sw-core-01,port-id7430,uplink,45.380986
S1,2026-03-02 11:40:00,sw-core-01,port-id7430,uplink,46.961643
S1,2026-03-02 11:45:00,sw-core-01,port-id7430,uplink,39.809872
S1,2026-03-02 11:50:00,sw-core-01,port-id7430,uplink,41.422642
S1,2026-03-02 11:55:00,sw-core-01,port-id7430,uplink,43.253291
S1,2026-03-02 12:00:00,sw-core-01,port-id7430,uplink,50.360168
S1,2026-03-02 12:05:00,sw-core-01,port-id7430,uplink,48.861109
S1,2026-03-02 12:10:00,sw-core-01,port-id7430,uplink,49.354018
S1,2026-03-02 12:15:00,sw-core-01,port-id7430,uplink,47.798199
S1,2026-03-02 12:20:00,sw-core-01,port-id7430,uplink,43.863658
S1,2026-03-02 12:25:00,sw-core-01,port-id7430,uplink,42.740116
S1,2026-03-02 12:30:00,sw-core-01,port-id7430,uplink,42.757151
S1,2026-03-02 12:35:00,sw-core-01,port-id7430,uplink,49.962436
S1,2026-03-02 12:40:00,sw-core-01,port-id7430,uplink,39.677549
S1,2026-03-02 12:45:00,sw-core-01,port-id7430,uplink,41.872293
S1,2026-03-02 12:50:00,sw-core-01,port-id7430,uplink,45.140357
S1,2026-03-02 12:55:00,sw-core-01,port-id7430,uplink,43.498774
S1,2026-03-02 13:00:00,sw-core-01,port-id7430,uplink,44.440355
S1,2026-03-02 13:05:00,sw-core-01,port-id7430,uplink,40.513195
S1,2026-03-02 13:10:00,sw-core-01,port-id7430,uplink,42.102017
S1,2026-03-02 13:15:00,sw-core-01,port-id7430,uplink,43.646389
S1,2026-03-02 13:20:00,sw-core-01,port-id7430,uplink,49.537374
S1,2026-03-02 13:25:00,sw-core-01,port-id7430,uplink,41.030180
S1,2026-03-02 13:30:00,sw-core-01,port-id7430,uplink,43.202689
S1,2026-03-02 13:35:00,sw-core-01,port-id7430,uplink,49.182261
S1,2026-03-02 13:40:00,sw-core-01,port-id7430,uplink,42.061832
S1,2026-03-02 13:45:00,sw-core-01,port-id7430,uplink,45.266044
S1,2026-03-02 13:50:00,sw-core-01,port-id7430,uplink,42.162778
S1,2026-03-02 13:55:00,sw-core-01,port-id7430,uplink,44.667332
S1,2026-03-02 14:00:00,sw-core-01,port-id7430,uplink,42.347139
S1,2026-03-02 14:05:00,sw-core-01,port-id7430,uplink,44.874380
S1,2026-03-02 14:10:00,sw-core-01,port-id7430,uplink,45.634475
S1,2026-03-02 14:15:00,sw-core-01,port-id7430,uplink,44.434204
S1,2026-03-02 14:20:00,sw-core-01,port-id7430,uplink,38.521152
S1,2026-03-02 14:25:00,sw-core-01,port-id7430,uplink,46.015019
S1,2026-03-02 14:30:00,sw-core-01,port-id7430,uplink,50.110594
S1,2026-03-02 14:35:00,sw-core-01,port-id7430,uplink,48.398991
S1,2026-03-02 14:40:00,sw-core-01,port-id7430,uplink,43.414225
S1,2026-03-02 14:45:00,sw-core-01,port-id7430,uplink,46.786322
S1,2026-03-02 14:50:00,sw-core-01,port-id7430,uplink,46.472982
S1,2026-03-02 14:55:00,sw-core-01,port-id7430,uplink,48.130817
S1,2026-03-02 15:00:00,sw-core-01,port-id7430,uplink,44.225915
S1,2026-03-02 15:05:00,sw-core-01,port-id7430,uplink,42.133494
S1,2026-03-02 15:10:00,sw-core-01,port-id7430,uplink,43.660213
S1,2026-03-02 15:15:00,sw-core-01,port-id7430,uplink,48.716529
S1,2026-03-02 15:20:00,sw-core-01,port-id7430,uplink,43.525957
S1,2026-03-02 15:25:00,sw-core-01,port-id7430,uplink,48.295211
S1,2026-03-02 15:30:00,sw-core-01,port-id7430,uplink,41.797094
S1,2026-03-02 15:35:00,sw-core-01,port-id7430,uplink,42.334084
S1,2026-03-02 15:40:00,sw-core-01,port-id7430,uplink,43.094071
S1,2026-03-02 15:45:00,sw-core-01,port-id7430,uplink,40.249912
S1,2026-03-02 15:50:00,sw-core-01,port-id7430,uplink,48.393981
S1,2026-03-02 15:55:00,sw-core-01,port-id7430,uplink,49.514520
