scenario_id,timestamp,device_id,port_id,port_role,in_bps,out_bps,in_pps,out_pps,avg_pkt_bytes,broadcast_ratio,multicast_ratio
M1,2026-03-02 00:00:00,core-sw-01,port-id7429,server-uplink,81328811.20233628,42367805.143035546,13557.012411002519,5911.13010165549,783.9945524972188,0.01583786367570826,0.026208904523062106
M1,2026-03-02 00:05:00,core-sw-01,port-id7429,server-uplink,89750594.04714395,49645101.01505677,15060.936212489665,6696.8794348353495,810.6266484421151,0.0144789469710885,0.023848971187130443
M1,2026-03-02 00:10:00,core-sw-01,port-id7429,server-uplink,84076511.27336662,48890037.56166733,13518.588359808607,6523.884352734496,832.6187499337256,0.01499417263552819,0.024549857610114596
M1,2026-03-02 00:15:00,core-sw-01,port-id7429,server-uplink,93668628.30173612,53533682.57464811,15584.54310924733,7224.472031874171,800.8301205635022,0.013251821193056164,0.02235572579162532
M1,2026-03-02 00:20:00,core-sw-01,port-id7429,server-uplink,65574946.677828364,39924866.843489185,10444.152286891329,5392.028965674271,858.5792187043179,0.019582689347103558,0.032635681596735924
M1,2026-03-02 00:25:00,core-sw-01,port-id7429,server-uplink,97752060.55123414,52886609.21288759,15788.676531531886,7151.036294429085,828.8116869269527,0.0138133689035139,0.02257637770539821
M1,2026-03-02 00:30:00,core-sw-01,port-id7429,server-uplink,61862964.9508483,34727165.88628927,10194.016860421441,4625.584642036298,812.4028743085859,0.019788501537447017,0.03265516041892096
M1,2026-03-02 00:35:00,core-sw-01,port-id7429,server-uplink,75985168.0420627,38880215.02374638,12367.07655619436,5222.120280603053,805.9531130982856,0.017244180401510927,0.030331974634900293
M1,2026-03-02 00:40:00,core-sw-01,port-id7429,server-uplink,78970355.550823,44206338.79711369,12858.75302717062,5996.88224572358,835.4300523114646,0.016452397008741553,0.028036845412710093
M1,2026-03-02 00:45:00,core-sw-01,port-id7429,server-uplink,101876908.57270716,56944670.32479426,16186.243179337767,7699.992644024463,841.4101227973172,0.012576101636968505,0.02165630025124022
M1,2026-03-02 00:50:00,core-sw-01,port-id7429,server-uplink,85264415.3700794,50429309.44010457,13886.845449915425,6972.462337634106,816.0720879617559,0.015078707532405877,0.02505031073934989
M1,2026-03-02 00:55:00,core-sw-01,port-id7429,server-uplink,49449754.28916876,29249877.00032922,7904.721796696259,3965.864808449272,808.0602779395718,0.02726248512410645,0.04271413557322827
M1,2026-03-02 01:00:00,core-sw-01,port-id7429,server-uplink,76224478.04130533,45203325.16574065,12567.300654804623,6091.487128268235,803.3959487371984,0.016443560365298853,0.027335720523216266
M1,2026-03-02 01:05:00,core-sw-01,port-id7429,server-uplink,75860657.83147264,39318845.57767359,12275.39590073947,5350.900271465624,829.8672085685232,0.01775424094490855,0.031322835175111224
M1,2026-03-02 01:10:00,core-sw-01,port-id7429,server-uplink,56345198.30221387,31431949.312997177,9449.481977065103,4182.266391612809,765.6632947782801,0.022934301527868628,0.038381426670709984
M1,2026-03-02 01:15:00,core-sw-01,port-id7429,server-uplink,68503417.79539025,38084167.59556431,11093.829147895394,5181.21514092884,831.4869368525367,0.018227700445038426,0.033596839092308935
M1,2026-03-02 01:20:00,core-sw-01,port-id7429,server-uplink,69753915.68171816,40838180.686882205,11301.411227392184,5596.847359013569,814.9465779087484,0.018609448430655196,0.030769351621485322
M1,2026-03-02 01:25:00,core-sw-01,port-id7429,server-uplink,61329150.130600706,34735283.24358224,9673.929674149933,4545.252748700952,839.0915196659494,0.021285280598194452,0.0371734694010027
M1,2026-03-02 01:30:00,core-sw-01,port-id7429,server-uplink,74417266.33906926,39972405.22495883,11915.049025826056,5470.194303770731,823.114107712082,0.017924292604848034,0.029327691540220312
M1,2026-03-02 01:35:00,core-sw-01,port-id7429,server-uplink,73420286.21085443,39382530.98913811,12042.081736824104,5624.845199121772,826.476737151038,0.01759641284789695,0.030049658787942697
M1,2026-03-02 01:40:00,core-sw-01,port-id7429,server-uplink,76293303.848486,41924313.69745439,12456.831920963501,5459.543707093666,883.6274796254845,0.017567832399174685,0.028782919456312242
M1,2026-03-02 01:45:00,core-sw-01,port-id7429,server-uplink,78440349.97729002,41996725.641117096,12857.741366257924,5814.530698743327,843.7610798342597,0.01682219452201713,0.028220889032510577
M1,2026-03-02 01:50:00,core-sw-01,port-id7429,server-uplink,76012625.88355874,39782477.9320552,12690.617965475862,5486.157633232592,794.7040211794783,0.01642003654867664,0.028056101130980327
M1,2026-03-02 01:55:00,core-sw-01,port-id7429,server-uplink,80352805.52149363,44581894.57962941,12813.032410221778,5960.7238928151355,840.1391576686659,0.017030831527823736,0.027805512783754198
M1,2026-03-02 02:00:00,core-sw-01,port-id7429,server-uplink,70098154.58227193,40086271.85485527,11628.632154286724,5445.829646486187,818.6455248455119,0.01842375663857163,0.03052373803777563
