timestamp,split,device_id,port_id,port_role,utilization
2026-01-19 00:00:00,estimate,sw-core-01,port-id7430,uplink,13.411472
2026-01-19 00:05:00,estimate,sw-core-01,port-id7430,uplink,17.213795
2026-01-19 00:10:00,estimate,sw-core-01,port-id7430,uplink,16.072955
2026-01-19 00:15:00,estimate,sw-core-01,port-id7430,uplink,11.363454
2026-01-19 00:20:00,estimate,sw-core-01,port-id7430,uplink,11.140069
2026-01-19 00:25:00,estimate,sw-core-01,port-id7430,uplink,10.578153
2026-01-19 00:30:00,estimate,sw-core-01,port-id7430,uplink,15.518750
2026-01-19 00:35:00,estimate,sw-core-01,port-id7430,uplink,12.403863
2026-01-19 00:40:00,estimate,sw-core-01,port-id7430,uplink,12.748847
2026-01-19 00:45:00,estimate,sw-core-01,port-id7430,uplink,12.580558
2026-01-19 00:50:00,estimate,sw-core-01,port-id7430,uplink,17.832331
2026-01-19 00:55:00,estimate,sw-core-01,port-id7430,uplink,17.669295
2026-01-19 01:00:00,estimate,sw-core-01,port-id7430,uplink,17.274255
2026-01-19 01:05:00,estimate,sw-core-01,port-id7430,uplink,7.605413
2026-01-19 01:10:00,estimate,sw-core-01,port-id7430,uplink,13.883914
2026-01-19 01:15:00,estimate,sw-core-01,port-id7430,uplink,19.313404
2026-01-19 01:20:00,estimate,sw-core-01,port-id7430,uplink,12.940085
2026-01-19 01:25:00,estimate,sw-core-01,port-id7430,uplink,14.048219
2026-01-19 01:30:00,estimate,sw-core-01,port-id7430,uplink,17.058479
2026-01-19 01:35:00,estimate,sw-core-01,port-id7430,uplink,15.898876
2026-01-19 01:40:00,estimate,sw-core-01,port-id7430,uplink,16.575360
2026-01-19 01:45:00,estimate,sw-core-01,port-id7430,uplink,13.988409
2026-01-19 01:50:00,estimate,sw-core-01,port-id7430,uplink,20.695415
2026-01-19 01:55:00,estimate,sw-core-01,port-id7430,uplink,14.539802
2026-01-19 02:00:00,estimate,sw-core-01,port-id7430,uplink,15.842138
2026-01-19 02:05:00,estimate,sw-core-01,port-id7430,uplink,11.485184
2026-01-19 02:10:00,estimate,sw-core-01,port-id7430,uplink,17.496327
2026-01-19 02:15:00,estimate,sw-core-01,port-id7430,uplink,15.032641
2026-01-19 02:20:00,estimate,sw-core-01,port-id7430,uplink,22.982611
2026-01-19 02:25:00,estimate,sw-core-01,port-id7430,uplink,15.466408
2026-01-19 02:30:00,estimate,sw-core-01,port-id7430,uplink,9.700723
2026-01-19 02:35:00,estimate,sw-core-01,port-id7430,uplink,20.079719
2026-01-19 02:40:00,estimate,sw-core-01,port-id7430,uplink,15.911777
2026-01-19 02:45:00,estimate,sw-core-01,port-id7430,uplink,16.825071
2026-01-19 02:50:00,estimate,sw-core-01,port-id7430,uplink,8.385717
2026-01-19 02:55:00,estimate,sw-core-01,port-id7430,uplink,13.724452
2026-01-19 03:00:00,estimate,sw-core-01,port-id7430,uplink,15.967932
2026-01-19 03:05:00,estimate,sw-core-01,port-id7430,uplink,17.906101
2026-01-19 03:10:00,estimate,sw-core-01,port-id7430,uplink,14.091027
2026-01-19 03:15:00,estimate,sw-core-01,port-id7430,uplink,12.653448
2026-01-19 03:20:00,estimate,sw-core-01,port-id7430,uplink,12.803282
2026-01-19 03:25:00,estimate,sw-core-01,port-id7430,uplink,20.382185
2026-01-19 03:30:00,estimate,sw-core-01,port-id7430,uplink,8.229914
2026-01-19 03:35:00,estimate,sw-core-01,port-id7430,uplink,10.237757
2026-01-19 03:40:00,estimate,sw-core-01,port-id7430,uplink,21.483554
2026-01-19 03:45:00,estimate,sw-core-01,port-id7430,uplink,11.459885
2026-01-19 03:50:00,estimate,sw-core-01,port-id7430,uplink,15.659410
2026-01-19 03:55:00,estimate,sw-core-01,port-id7430,uplink,11.890344
2026-01-19 04:00:00,estimate,sw-core-01,port-id7430,uplink,17.727688
2026-01-19 04:05:00,estimate,sw-core-01,port-id7430,uplink,11.299711
2026-01-19 04:10:00,estimate,sw-core-01,port-id7430,uplink,14.462067
2026-01-19 04:15:00,estimate,sw-core-01,port-id7430,uplink,16.564877
2026-01-19 04:20:00,estimate,sw-core-01,port-id7430,uplink,10.080988
2026-01-19 04:25:00,estimate,sw-core-01,port-id7430,uplink,19.256547
2026-01-19 04:30:00,estimate,sw-core-01,port-id7430,uplink,16.456021
2026-01-19 04:35:00,estimate,sw-core-01,port-id7430,uplink,16.326295
2026-01-19 04:40:00,estimate,sw-core-01,port-id7430,uplink,19.055486
2026-01-19 04:45:00,estimate,sw-core-01,port-id7430,uplink,20.496877
2026-01-19 04:50:00,estimate,sw-core-01,port-id7430,uplink,16.363535
2026-01-19 04:55:00,estimate,sw-core-01,port-id7430,uplink,17.148382
2026-01-19 05:00:00,estimate,sw-core-01,port-id7430,uplink,20.702461
2026-01-19 05:05:00,estimate,sw-core-01,port-id7430,uplink,14.738426
2026-01-19 05:10:00,estimate,sw-core-01,port-id7430,uplink,15.009478
2026-01-19 05:15:00,estimate,sw-core-01,port-id7430,uplink,16.543005
2026-01-19 05:20:00,estimate,sw-core-01,port-id7430,uplink,17.873241
2026-01-19 05:25:00,estimate,sw-core-01,port-id7430,uplink,17.359060
2026-01-19 05:30:00,estimate,sw-core-01,port-id7430,uplink,12.924014
2026-01-19 05:35:00,estimate,sw-core-01,port-id7430,uplink,18.988564
2026-01-19 05:40:00,estimate,sw-core-01,port-id7430,uplink,19.607108
2026-01-19 05:45:00,estimate,sw-core-01,port-id7430,uplink,18.175288
2026-01-19 05:50:00,estimate,sw-core-01,port-id7430,uplink,14.756040
2026-01-19 05:55:00,estimate,sw-core-01,port-id7430,uplink,20.080602
