scenario_id,sample_index,source_timestamp,site,target,mahalanobis_score,lof_score,packet_loss_ratio,service_up,maintenance_active
P1,0,2026-04-06 09:00:00,taipei-dc1,fw01,1.0486696407747575,0.988895575084751,0.000982379131884238,1,0
P1,0,2026-04-06 09:00:00,taipei-dc1,web01,0.9702258697658299,1.0248683508313787,0.0009495281150725278,1,0
P1,0,2026-04-06 09:00:00,taipei-dc1,db01,0.8307526224464652,1.0170565325843501,0.0009656072019737393,1,0
P1,1,2026-04-06 09:05:00,taipei-dc1,fw01,1.2837750170867188,1.06274092450036,0.0007698812544719264,1,0
P1,1,2026-04-06 09:05:00,taipei-dc1,web01,1.0529507194864047,1.1160942504511302,0.0009617443380091455,1,0
P1,1,2026-04-06 09:05:00,taipei-dc1,db01,0.8313250071954592,1.0751026893355726,0.0011036048407488891,1,0
P1,2,2026-04-06 09:10:00,taipei-dc1,fw01,1.1100549464565599,1.0369131619444538,0.0010846086081381708,1,0
P1,2,2026-04-06 09:10:00,taipei-dc1,web01,1.0906495371920772,1.0718814806584043,0.0008685464841321546,1,0
P1,2,2026-04-06 09:10:00,taipei-dc1,db01,1.0662306095887153,1.056962070281951,0.0010352667733285721,1,0
P1,3,2026-04-06 09:15:00,taipei-dc1,fw01,0.9769885137693476,1.0463845737289494,0.0011201512496292522,1,0
P1,3,2026-04-06 09:15:00,taipei-dc1,web01,1.0924114603881594,1.0167684902109313,0.001074069697595982,1,0
P1,3,2026-04-06 09:15:00,taipei-dc1,db01,0.9390580019189552,1.0886025554860104,0.0009607694006777501,1,0
P1,4,2026-04-06 09:20:00,taipei-dc1,fw01,0.8602599598821891,1.0279128111868843,0.0010815373199495797,1,0
P1,4,2026-04-06 09:20:00,taipei-dc1,web01,1.0720709141797207,1.0685741582360933,0.0009540351970442353,1,0
P1,4,2026-04-06 09:20:00,taipei-dc1,db01,1.0234069563023758,1.0244244367713977,0.0011069276966504265,1,0
P1,5,2026-04-06 09:25:00,taipei-dc1,fw01,4.8,1.125496244531218,0.0009465450425948772,1,0
P1,5,2026-04-06 09:25:00,taipei-dc1,web01,1.283362074235824,0.9730533785101886,0.0009562701044100739,1,0
P1,5,2026-04-06 09:25:00,taipei-dc1,db01,0.9519496194961488,1.0103710932484877,0.0011188006384247999,1,0
P1,6,2026-04-06 09:30:00,taipei-dc1,fw01,1.093853906727007,1.1096681526426149,0.0012136434452612692,1,0
P1,6,2026-04-06 09:30:00,taipei-dc1,web01,1.1073501379094102,0.9815593185790108,0.0009021866185311565,1,0
P1,6,2026-04-06 09:30:00,taipei-dc1,db01,0.7954043641470868,1.042897233381716,0.000990667264734184,1,0
P1,7,2026-04-06 09:35:00,taipei-dc1,fw01,0.9664986667734101,1.0018926078616186,0.0011657343821644933,1,0
P1,7,2026-04-06 09:35:00,taipei-dc1,web01,1.0887343171347241,0.9637859676926963,0.0009499383484985401,1,0
P1,7,2026-04-06 09:35:00,taipei-dc1,db01,0.8377641982587397,1.0484850191270512,0.0009526904723429125,1,0
P1,8,2026-04-06 09:40:00,taipei-dc1,fw01,1.0213562052319467,1.1166153986810203,0.0010605312523762715,1,0
P1,8,2026-04-06 09:40:00,taipei-dc1,web01,1.0978998720077409,1.0610571530950927,0.0009847223397227323,1,0
P1,8,2026-04-06 09:40:00,taipei-dc1,db01,0.9337867345462544,1.0083406319555221,0.0008676641850041914,1,0
