timestamp,device_id,port_id,port_role,INOCTETS,OUTOCTETS,INERRORS,OUTERRORS,INUCASTPKTS,OUTUCASTPKTS,INNUCASTPKTS,OUTNUCASTPKTS,INDISCARDS,OUTDISCARDS,INUNKNOWNPROTOS,INBROADCASTPKTS,OUTBROADCASTPKTS,INMULTICASTPKTS,OUTMULTICASTPKTS,event_label,event_id
2026-02-01 00:00:00,core-sw-01,port-id7429,server-uplink,2265462.07,4192099.47,0,0,1913,3540,54,40,0,0,0,9,6,16,12,normal,
2026-02-01 00:05:00,core-sw-01,port-id7429,server-uplink,2005792.42,3515720.85,0,0,2051,3594,56,42,0,0,0,9,7,16,12,normal,
2026-02-01 00:10:00,core-sw-01,port-id7429,server-uplink,2428590.58,3695842.09,0,0,2296,3495,57,43,0,0,0,9,7,17,12,normal,
2026-02-01 00:15:00,core-sw-01,port-id7429,server-uplink,2135617.9,3318714.69,0,0,1936,3008,49,37,0,0,0,8,6,14,11,normal,
2026-02-01 00:20:00,core-sw-01,port-id7429,server-uplink,2537236.96,3570158.14,0,0,2143,3015,51,38,0,0,0,8,6,15,11,normal,
2026-02-01 00:25:00,core-sw-01,port-id7429,server-uplink,2093507.84,3916133.57,0,0,2200,4115,62,47,0,0,0,10,8,18,14,normal,
2026-02-01 00:30:00,core-sw-01,port-id7429,server-uplink,2241441.93,3820929.29,0,0,2262,3856,60,45,0,0,0,10,7,18,13,normal,
2026-02-01 00:35:00,core-sw-01,port-id7429,server-uplink,2203693.51,3716472.11,0,0,2140,3609,57,43,0,0,0,9,7,16,12,normal,
2026-02-01 00:40:00,core-sw-01,port-id7429,server-uplink,2132046.28,3216815.8,0,0,2116,3193,52,39,0,0,0,9,6,15,11,normal,
2026-02-01 00:45:00,core-sw-01,port-id7429,server-uplink,2292223.22,4564260.4,0,0,1946,3876,58,43,0,0,0,9,7,17,13,normal,
2026-02-01 00:50:00,core-sw-01,port-id7429,server-uplink,2254941.12,3798689.99,0,0,2243,3779,59,45,0,0,0,10,7,17,13,normal,
2026-02-01 00:55:00,core-sw-01,port-id7429,server-uplink,2244135.99,4512781.3,0,0,2302,4630,68,51,2,0,0,11,8,20,15,normal,
2026-02-01 01:00:00,core-sw-01,port-id7429,server-uplink,2488227.68,3786881.6,0,0,2642,4021,66,49,0,0,0,11,8,19,14,normal,
2026-02-01 01:05:00,core-sw-01,port-id7429,server-uplink,2214531.04,4354610.61,0,0,2386,4692,70,52,0,0,0,12,8,20,15,normal,
2026-02-01 01:10:00,core-sw-01,port-id7429,server-uplink,1925418.21,4104589.89,0,0,1851,3947,57,43,0,0,0,9,7,17,12,normal,
2026-02-01 01:15:00,core-sw-01,port-id7429,server-uplink,2169636.22,4013178.18,0,0,2004,3707,56,42,0,0,0,9,7,16,12,normal,
2026-02-01 01:20:00,core-sw-01,port-id7429,server-uplink,2388921.12,3399378.05,0,0,2690,3828,64,48,0,0,0,11,8,19,14,normal,
2026-02-01 01:25:00,core-sw-01,port-id7429,server-uplink,2276945.53,3981759.97,0,0,2198,3844,60,45,0,0,0,10,7,17,13,normal,
2026-02-01 01:30:00,core-sw-01,port-id7429,server-uplink,2843452.77,3559169.3,0,0,2893,3621,64,48,0,0,0,11,8,19,14,normal,
2026-02-01 01:35:00,core-sw-01,port-id7429,server-uplink,2123768.59,3416286.02,0,0,2080,3345,54,40,0,0,0,9,6,16,12,normal,
2026-02-01 01:40:00,core-sw-01,port-id7429,server-uplink,2635395.54,3798270.9,0,0,2670,3848,64,48,0,0,0,11,8,19,14,normal,
2026-02-01 01:45:00,core-sw-01,port-id7429,server-uplink,2908583.18,3842268.93,0,0,2803,3703,64,48,0,0,0,11,8,19,14,normal,
2026-02-01 01:50:00,core-sw-01,port-id7429,server-uplink,2780384.85,4670900.36,0,0,2992,5026,79,59,0,0,0,13,10,23,17,normal,
2026-02-01 01:55:00,core-sw-01,port-id7429,server-uplink,2473140.75,3804428.68,0,0,2293,3527,57,43,0,0,0,9,7,17,13,normal,
2026-02-01 02:00:00,core-sw-01,port-id7429,server-uplink,2060413.75,4053047.97,0,0,2023,3979,59,44,0,0,0,10,7,17,13,normal,
2026-02-01 02:05:00,core-sw-01,port-id7429,server-uplink,1989805.62,3359203.24,0,0,1750,2954,46,35,0,0,0,8,6,13,10,normal,
2026-02-01 02:10:00,core-sw-01,port-id7429,server-uplink,2189606.53,3888849.27,0,0,2038,3619,56,42,0,0,0,9,7,16,12,normal,
2026-02-01 02:15:00,core-sw-01,port-id7429,server-uplink,2795416.78,3989371.47,0,0,2843,4057,68,51,0,0,0,11,8,20,15,normal,
2026-02-01 02:20:00,core-sw-01,port-id7429,server-uplink,2585737.97,3637100.71,0,0,2398,3373,57,43,0,0,0,9,7,17,12,normal,
2026-02-01 02:25:00,core-sw-01,port-id7429,server-uplink,2144703.74,2929999.14,0,0,1884,2574,44,33,0,0,0,7,5,13,10,normal,
2026-02-01 02:30:00,core-sw-01,port-id7429,server-uplink,2050970.73,4163853.32,1,0,2004,4068,60,45,0,0,0,10,7,17,13,normal,
2026-02-01 02:35:00,core-sw-01,port-id7429,server-uplink,2435437.64,3948236.97,0,0,2255,3655,58,44,0,0,0,10,7,17,13,normal,
2026-02-01 02:40:00,core-sw-01,port-id7429,server-uplink,2445106.56,4055790.78,0,0,2287,3793,60,45,0,0,0,10,7,17,13,normal,
2026-02-01 02:45:00,core-sw-01,port-id7429,server-uplink,2651768.98,4810431.24,0,0,2460,4463,68,51,0,1,0,11,8,20,15,normal,
2026-02-01 02:50:00,core-sw-01,port-id7429,server-uplink,2625477.16,4269847.55,0,0,2463,4006,64,48,0,0,0,11,8,19,14,normal,
2026-02-01 02:55:00,core-sw-01,port-id7429,server-uplink,2205583.73,3824731.57,0,0,2368,4106,64,48,0,0,0,11,8,19,14,normal,
2026-02-01 03:00:00,core-sw-01,port-id7429,server-uplink,2383315.42,4123757.79,0,0,2523,4365,68,51,0,0,0,11,8,20,15,normal,
